SDRID,Definition,Data Restriction,DHSID,Alias
AHBTHPWIMG,Percentage of women who were born in the country but outside of current place of residence,,AH_BTHP_W_IMG,Born in the country but outside of current place of residence [Women]
AHMIGRWEMP,Percentage who moved because of employment,,AH_MIGR_W_EMP,Migration reason: employment [Women]
EDEDUCWSEH,Percentage of women with secondary or higher education,,ED_EDUC_W_SEH,Women with secondary or higher education
EDLITRWLIT,Percentage of women who are literate,,ED_LITR_W_LIT,Women who are literate
EDMDIAWN3M,Percentage of women with no access to mass media,,ED_MDIA_W_N3M,Women with no access to mass media
EMEMPLWN12,Percentage of women who did no work in the 12 months preceding the survey,,EM_EMPL_W_N12,Women who did no work in the last 12 months
EMEMPTWCSH,Percentage of women employed in the 12 months before the survey who worked for cash only,,EM_EMPT_W_CSH,Women who worked for cash only
EMEMPTWFAM,Percentage of women employed in the 12 months preceding the survey employed by family member,,EM_EMPT_W_FAM,Women employed by family member
EMEMPTWKND,Percentage of women employed in the 12 months before the surveywho worked for in-kind payment only,,EM_EMPT_W_KND,Women who worked for in-kind payment only
EMEMPTWSES,Percentage of women who worked seasonally,,EM_EMPT_W_SES,Women who worked seasonally
FEFRTRWTFR,Total fertility rate for the three years preceding the survey for age group 15-49 expressed per woman,,FE_FRTR_W_TFR,Total fertility rate 15-49
HCELECHNEL,Percentage of households with no electricity,,HC_ELEC_H_NEL,Households with no electricity
WEDMKHWWIF,Percentage of women for whom the decision maker for their own health care is mainly the respondent,,WE_DMKH_W_WIF,Decision maker about Own health care: Mainly wife [Women]
WEDMKPWWIF,Percentage of women for whom the decision maker for major household purchases is mainly the respondent,,WE_DMKP_W_WIF,Decision maker about Major household purchases: Mainly wife [Women]
WEDMKVWWIF,Percentage of women for whom the decision maker for visits to her family or relatives is mainly the respondent,,WE_DMKV_W_WIF,Decision maker about Visits to her family or relatives: Mainly wife [Women]
WEOWNAWHAL,Percentage of women who own a house alone,,WE_OWNA_W_HAL,Own a house alone [Women]
WEOWNAWHJH,Percentage of women who own a house alone and jointly with husband only,,WE_OWNA_W_HJH,Own a house jointly with husband only [Women]
WEOWNAWHJN,Percentage of women who own a house jointly,,WE_OWNA_W_HJN,Own a house jointly [Women]
WEWEMPWDMK,"Percentage of currently married or in union women participating in decision making for their own health care, for major household purchases, and for visits to her family or relatives",,WE_WEMP_W_DMK,Married women participating in all three decisions
WSSRCEHIMP,Percentage of households whose main source of drinking water is an improved source,,WS_SRCE_H_IMP,Households using an improved water source
